Codigo_Barras;SKU_Interno;Descripcion;Fabricante;Contenido;Precio_Lista;Descuento_Porc
779100000458;SKU-10457;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;4737.18;0.0
779100000459;SKU-10458;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;2920.0;0.0
779100000460;SKU-10459;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;1982.75;0.0
779100000461;SKU-10460;COCA-COLA GASEOSA COLA 354 ML;Coca-Cola;354 ml;1150.05;10.0
779100000462;SKU-10461;SPRITE GASEOSA LIMA LIMON 500 ML;Sprite;500 ml;1577.96;5.0
779100000463;SKU-10462;QUILMES CERVEZA RUBIA 710 ML;Quilmes;710 ml;2350.39;5.0
779100000464;SKU-10463;LA SERENÍSIMA LECHE ENTERA TETRA 1L;La Serenísima;Tetra 1L;1421.63;0.0
779100000465;SKU-10464;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1222.29;5.0
779100000466;SKU-10465;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 180 G;La Serenísima;180 g;2051.07;0.0
779100000467;SKU-10466;SAN IGNACIO DULCE DE LECHE CLASICO 1000 G;San Ignacio;1000 g;2527.69;0.0
779100000468;SKU-10467;NATURA ACEITE GIRASOL 3 L;Natura;3 l;2161.73;10.0
779100000469;SKU-10468;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2637.82;10.0
779100000470;SKU-10469;GALLO ARROZ LARGO FINO 500 G;Gallo;500 g;1129.24;10.0
779100000471;SKU-10470;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1419.05;5.0
779100000472;SKU-10471;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;762.35;0.0
779100000473;SKU-10472;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;919.19;0.0
779100000474;SKU-10473;HELLMANNS MAYONESA CLASICA 1000 GR;Hellmanns;1000 gr;2914.36;0.0
779100000475;SKU-10474;ARCOR GALLETITAS DULCES 300 G;Arcor;300 g;1161.83;0.0
779100000476;SKU-10475;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2586.37;10.0
779100000477;SKU-10476;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;5075.44;0.0
779100000478;SKU-10477;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1766.93;10.0
779100000479;SKU-10478;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7633.72;10.0
779100000480;SKU-10479;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1738.31;0.0
779100000481;SKU-10480;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;4902.93;5.0
779100000482;SKU-10481;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4632.53;0.0
779100000483;SKU-10482;QUILMES CERVEZA RUBIA PACK X6;Quilmes;Pack x6;12291.69;5.0
779100000484;SKU-10483;LA SERENÍSIMA LECHE ENTERA 1000 CC;La Serenísima;1000 cc;1583.7;0.0
779100000485;SKU-10484;SANCOR LECHE DESCREMADA 1000 CC;Sancor;1000 cc;1503.16;0.0
779100000486;SKU-10485;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;1919.13;5.0
779100000487;SKU-10486;SAN IGNACIO DULCE DE LECHE CLASICO 400 G;San Ignacio;400 g;2402.08;0.0
779100000488;SKU-10487;NATURA ACEITE GIRASOL 900 ML;Natura;900 ml;2125.18;5.0
779100000489;SKU-10488;COCINERO ACEITE MEZCLA 900 ML;Cocinero;900 ml;1817.89;5.0
779100000490;SKU-10489;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;1971.82;0.0
779100000491;SKU-10490;MATARAZZO FIDEOS GUISEROS 500 G;Matarazzo;500 g;845.62;0.0
779100000492;SKU-10491;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;857.06;10.0
779100000493;SKU-10492;MAROLIO PURE DE TOMATE 520 G;Marolio;520 g;817.66;5.0
779100000494;SKU-10493;HELLMANNS MAYONESA CLASICA 475 G;Hellmanns;475 g;2956.07;0.0
779100000495;SKU-10494;ARCOR GALLETITAS DULCES 120 G;Arcor;120 g;1033.3;5.0
779100000496;SKU-10495;TERRABUSI GALLETITAS DE AGUA 100 G;Terrabusi;100 g;865.15;10.0
779100000497;SKU-10496;HEAD & SHOULDERS SHAMPOO ANTICASPA 400 ML;Head & Shoulders;400 ml;4339.66;5.0
779100000498;SKU-10497;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;3893.39;10.0
779100000499;SKU-10498;REXONA DESODORANTE AEROSOL 150 ML;Rexona;150 ml;2733.73;0.0
779100000500;SKU-10499;COLGATE CREMA DENTAL TRIPLE ACCION 70 G;Colgate;70 g;1972.07;0.0
779100000501;SKU-10500;COCA-COLA GASEOSA COLA 2250 ML;Coca-Cola;2250 ml;5300.6;10.0
779100000502;SKU-10501;SPRITE GASEOSA LIMA LIMON 2250 ML;Sprite;2250 ml;4423.94;5.0
779100000503;SKU-10502;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2007.81;10.0
779100000504;SKU-10503;LA SERENÍSIMA LECHE ENTERA 1000 ML;La Serenísima;1000 ml;1406.56;5.0
779100000505;SKU-10504;SANCOR LECHE DESCREMADA 1000 ML;Sancor;1000 ml;1432.95;5.0
779100000506;SKU-10505;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 G;La Serenísima;1000 g;1998.55;5.0
779100000507;SKU-10506;SAN IGNACIO DULCE DE LECHE CLASICO 400 GR;San Ignacio;400 gr;2559.97;10.0
779100000508;SKU-10507;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;3018.02;0.0
779100000509;SKU-10508;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2662.95;5.0
779100000510;SKU-10509;GALLO ARROZ LARGO FINO 1000 G;Gallo;1000 g;1862.3;0.0
779100000511;SKU-10510;MATARAZZO FIDEOS GUISEROS 500 GR;Matarazzo;500 gr;762.09;5.0
779100000512;SKU-10511;LUCCHETTI FIDEOS TALLARINES 500 GR;Lucchetti;500 gr;828.15;0.0
779100000513;SKU-10512;MAROLIO PURE DE TOMATE 520 GR;Marolio;520 gr;897.92;10.0
779100000514;SKU-10513;HELLMANNS MAYONESA CLASICA 500 G;Hellmanns;500 g;1456.51;0.0
779100000515;SKU-10514;ARCOR GALLETITAS DULCES 160 G;Arcor;160 g;1063.86;0.0
779100000516;SKU-10515;TERRABUSI GALLETITAS DE AGUA 300 G;Terrabusi;300 g;1039.88;10.0
779100000517;SKU-10516;HEAD & SHOULDERS SHAMPOO ANTICASPA 200 ML;Head & Shoulders;200 ml;1876.62;10.0
779100000518;SKU-10517;PANTENE ACONDICIONADOR BRILLO 200 ML;Pantene;200 ml;1947.44;0.0
779100000519;SKU-10518;REXONA DESODORANTE AEROSOL 150 CC;Rexona;150 cc;3115.52;10.0
779100000520;SKU-10519;COLGATE CREMA DENTAL TRIPLE ACCION 90 G;Colgate;90 g;1740.94;10.0
779100000521;SKU-10520;COCA-COLA GASEOSA COLA 2.25L;Coca-Cola;2.25L;4997.63;5.0
779100000522;SKU-10521;SPRITE GASEOSA LIMA LIMON 1500 ML;Sprite;1500 ml;3562.12;10.0
779100000523;SKU-10522;QUILMES CERVEZA RUBIA 1000 CC;Quilmes;1000 cc;2038.65;0.0
779100000524;SKU-10523;LA SERENÍSIMA LECHE ENTERA SACHET 1L;La Serenísima;Sachet 1L;1283.83;0.0
779100000525;SKU-10524;SANCOR LECHE DESCREMADA TETRA 1L;Sancor;Tetra 1L;1481.37;0.0
779100000526;SKU-10525;LA SERENÍSIMA YOGUR BEBIBLE FRUTILLA 1000 GR;La Serenísima;1000 gr;2308.89;0.0
779100000527;SKU-10526;SAN IGNACIO DULCE DE LECHE CLASICO 1000 GR;San Ignacio;1000 gr;2292.42;5.0
779100000528;SKU-10527;NATURA ACEITE GIRASOL 1500 ML;Natura;1500 ml;2940.91;10.0
779100000529;SKU-10528;COCINERO ACEITE MEZCLA 1500 ML;Cocinero;1500 ml;2392.25;10.0
779100000530;SKU-10529;GALLO ARROZ LARGO FINO 1000 GR;Gallo;1000 gr;2063.35;5.0
779100000531;SKU-10530;MATARAZZO FIDEOS GUISEROS 1000 GR;Matarazzo;1000 gr;1395.45;5.0
779100000532;SKU-10531;LUCCHETTI FIDEOS TALLARINES 500 G;Lucchetti;500 g;754.17;10.0
779100000533;SKU-10532;MAROLIO PURE DE TOMATE TETRA 520G;Marolio;Tetra 520g;837.26;10.0
779100000534;SKU-10533;HELLMANNS MAYONESA CLASICA 950 G;Hellmanns;950 g;2256.68;10.0
779100000535;SKU-10534;ARCOR GALLETITAS DULCES PACK X3;Arcor;Pack x3;3236.53;10.0
779100000536;SKU-10535;TERRABUSI GALLETITAS DE AGUA PACK X3 300G;Terrabusi;Pack x3 300g;2919.21;10.0
779100000537;SKU-10536;HEAD & SHOULDERS SHAMPOO ANTICASPA 750 ML;Head & Shoulders;750 ml;4589.09;10.0
779100000538;SKU-10537;PANTENE ACONDICIONADOR BRILLO 400 ML;Pantene;400 ml;3912.73;10.0
779100000539;SKU-10538;REXONA DESODORANTE AEROSOL PACK X2;Rexona;Pack x2;7517.54;0.0
779100000540;SKU-10539;COLGATE CREMA DENTAL TRIPLE ACCION 140 G;Colgate;140 g;1720.86;10.0
779100000541;SKU-10540;COCA-COLA GASEOSA COLA 1500 ML;Coca-Cola;1500 ml;3773.16;10.0
